metric,tier,predictor,roi,n,beta,p,r_partial
F2,primary,dexterity_nondominant,IOG_L,287,0.00015653340503032524,0.047103447295892435,0.11897257839831996
F2,primary,dexterity_nondominant,IOG_R,287,0.00016429243637844344,0.026081663075373403,0.13321073438322883
F2,primary,dexterity_nondominant,MOG_L,287,0.00014777021910697597,0.032907645405502214,0.12776160914340948
F2,primary,dexterity_nondominant,MOG_R,287,0.00015491667114455088,0.03385172627544274,0.1270858994219087
F2,primary,dexterity_nondominant,SOG_L,287,0.0002584195752552833,0.009936051039479286,0.15411237904251998
F2,primary,dexterity_nondominant,SOG_R,287,0.0001631700561929809,0.06759891986876057,0.10958204279440281
FSUM,primary,dexterity_dominant,IOG_L,289,0.0006773072080361356,0.005031395343930633,0.16690196308538316
FSUM,primary,dexterity_dominant,IOG_R,289,0.0008963087160261397,0.00010259725871985115,0.22964122344173504
FSUM,primary,dexterity_dominant,MOG_L,289,0.0007178855609757177,0.0007440261204371705,0.2000594560710401
FSUM,primary,dexterity_dominant,MOG_R,289,0.0007791790012157461,0.00048284195333477605,0.20686737427262392
FSUM,primary,dexterity_dominant,SOG_L,289,0.0009384846088414995,0.003635291175225712,0.1729496915444343
FSUM,primary,dexterity_dominant,SOG_R,289,0.0007727538813809674,0.0063087214093396245,0.16257434065976942
FSUM,primary,dexterity_nondominant,IOG_L,287,0.0005023892815020672,0.04525769338432928,0.11997697469575781
FSUM,primary,dexterity_nondominant,IOG_R,287,0.0005577644810754874,0.02087683607367073,0.13826413581012242
FSUM,primary,dexterity_nondominant,MOG_L,287,0.0004590227461742516,0.037926777925179615,0.12434122528196673
FSUM,primary,dexterity_nondominant,MOG_R,287,0.00048227940920584646,0.03791453556184648,0.1243490883809185
FSUM,primary,dexterity_nondominant,SOG_L,287,0.0008348528740836512,0.011906174473136192,0.15038187191155794
FSUM,primary,dexterity_nondominant,SOG_R,287,0.000603596282842928,0.03978250032055549,0.1231734108606589
